INSTNM,X,Y,CITY,STATE,INSTNM-2,Degree,Rank,LON,LAT
Syracuse University,-76.13697729,43.04018462,Syracuse,NY,Syracuse University,Library and Information Studies,4,-76.13697729,43.04018462
The University of Texas at Austin,-97.73929863,30.28609522,Austin,TX,The University of Texas at Austin,Library and Information Studies,5,-97.73929863,30.28609522
University of Maryland-College Park,-76.94472327,38.98818581,College Park,MD,University of Maryland-College Park,Library and Information Studies,8,-76.94472327,38.98818581
University of Pittsburgh-Pittsburgh Campus,-79.9546953,40.44450997,Pittsburgh,PA,University of Pittsburgh-Pittsburgh Campus,Library and Information Studies,10,-79.9546953,40.44450997
Florida State University,-84.29192502,30.44076171,Tallahassee,FL,Florida State University,Library and Information Studies,12,-84.29192502,30.44076171
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Library and Information Studies,14,-118.4439132,34.06889685
University of Wisconsin-Milwaukee,-87.88049395,43.07685604,Milwaukee,WI,University of Wisconsin-Milwaukee,Library and Information Studies,14,-87.88049395,43.07685604
University of South Carolina-Columbia,-81.02693823,33.99679461,Columbia,SC,University of South Carolina-Columbia,Library and Information Studies,18,-81.02693823,33.99679461
University of Kentucky,-84.5047515,38.03891831,Lexington,KY,University of Kentucky,Library and Information Studies,20,-84.5047515,38.03891831
University of North Texas,-97.14842964,33.2111838,Denton,TX,,Library and Information Studies,20,-97.14842964,33.2111838
Indiana University-Bloomington,-86.52690918,39.16639043,Bloomington,IN,Indiana University-Bloomington,Public Affairs,1,-86.52690918,39.16639043
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Public Affairs,3,-71.11831361,42.37447967
University of Georgia,-83.37404292,33.95626852,Athens,GA,University of Georgia,Public Affairs,5,-83.37404292,33.95626852
New York University,-73.99726545,40.72946026,New York,NY,New York University,Public Affairs,7,-73.99726545,40.72946026
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Public Affairs,7,-83.74277362,42.27592913
University of Chicago,-87.60120173,41.78917784,Chicago,IL,University of Chicago,Public Affairs,10,-87.60120173,41.78917784
The University of Texas at Austin,-97.73929863,30.28609522,Austin,TX,The University of Texas at Austin,Public Affairs,10,-97.73929863,30.28609522
Arizona State University-Downtown Phoenix,-112.073232,33.45343512,Phoenix,AZ,Arizona State University-Downtown Phoenix,Public Affairs,14,-112.073232,33.45343512
George Washington University,-77.0478733,38.89865779,Washington,DC,George Washington University,Public Affairs,14,-77.0478733,38.89865779
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Public Affairs,14,-118.4439132,34.06889685
Syracuse University,-76.13697729,43.04018462,Syracuse,NY,Syracuse University,Public Affairs,1,-76.13697729,43.04018462
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Public Affairs,3,-118.2841812,34.02128585
University of Washington-Seattle Campus,-122.3131299,47.65621862,Seattle,WA,University of Washington-Seattle Campus,Public Affairs,5,-122.3131299,47.65621862
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Public Affairs,7,-122.2604762,37.87192296
Princeton University,-74.65936664,40.34874016,Princeton,NJ,Princeton University,Public Affairs,10,-74.65936664,40.34874016
University of Minnesota-Twin Cities,-93.23535974,44.977894,Minneapolis,MN,University of Minnesota-Twin Cities,Public Affairs,10,-93.23535974,44.977894
American University,-77.09010831,38.93780979,Washington,DC,American University,Public Affairs,14,-77.09010831,38.93780979
Carnegie Mellon University,-79.9429173,40.44462397,Pittsburgh,PA,Carnegie Mellon University,Public Affairs,14,-79.9429173,40.44462397
Ohio State University-Main Campus,-83.0090052,39.99839675,Columbus,OH,Ohio State University-Main Campus,Public Affairs,14,-83.0090052,39.99839675
University of Kansas,-95.2475746,38.95855592,Lawrence,KS,University of Kansas,Public Affairs,14,-95.2475746,38.95855592
